page_nb;date;document_name;content
0.0;01/01/2023;2024 Condition particuliére - Infogérance - iot valley (1);Condition particulière – Infogérance IOT VALLEY RESUME Condition particulière du contrat d’infogérance pour l’IOT VALLEY 
1.0;01/01/2023;2024 Condition particuliére - Infogérance - iot valley (1);MODIFICATION Édition / Révision Date Auteur Modification 1.0 15/11/2022L.GAUTRAND 1.1 11/01/2023
1.0;01/01/2023;2024 Condition particuliére - Infogérance - iot valley (1);L.GAUTRAND §2 ajouté §3 modifié §5 mise à jour 1.2 19/12/2023X.RIDEZ DOCUMENTS APPLICABLES DA Référence 
1.0;01/01/2023;2024 Condition particuliére - Infogérance - iot valley (1);Titre DOCUMENT DE REFERENCE DR Référence Titre A DEFINIR / A CONFIMER TBC / TBD Chapitre Description 
2.0;01/01/2023;2024 Condition particuliére - Infogérance - iot valley (1);Table des matières 1. Produit infogérance : ....................................................................................................................................................................... 4 2. Validité du contrat : .......................................................................................................................................................................... 4 3. Contenu de la prestation : ........................................................................................................................................................... 4 4. Dates d’intervention, horaires :............................................................................................................................................... 5 4.1. 
2.0;01/01/2023;2024 Condition particuliére - Infogérance - iot valley (1);Support à distance : .......................................................................................................................................................................... 5 4.2. Intervention sur site :....................................................................................................................................................................... 6 5.  Exécution du contrat: ..................................................................................................................................................................... 6 6. Equipement prise en charge : ....................................................................................................................................................7 7. Garantie de temps d’intervention :.......................................................................................................................................7 
2.0;01/01/2023;2024 Condition particuliére - Infogérance - iot valley (1);8. Surveillance d’équipement : .......................................................................................................................................................7 9. Administration des équipements réseaux : ................................................................................................................. 8 10. Proposition et amélioration de l’existant :.................................................................................................................... 8 11. Documentation client : ................................................................................................................................................................... 8 12. Tarif : .............................................................................................................................................................................................................. 9 
2.0;01/01/2023;2024 Condition particuliére - Infogérance - iot valley (1);13. Conditions de règlement : ........................................................................................................................................................... 9 14. Révision du tarif :................................................................................................................................................................................ 9 
3.0;01/01/2023;2024 Condition particuliére - Infogérance - iot valley (1);1. Produit infogérance : L’infogérance ne comprend aucune fourniture de matériels, pièces, accessoires, consommables, logiciels, mise à jour payante, abonnements ou autres. Les options souscrites par le client auprès de 3S-NUMERIQUE seront rajouté à la facture d’infogérance. Leurs descriptions et conditions seront défini dans leur condition particulières respectives. 2. Validité du contrat : Ce contrat est signé pour une durée de 1 ans à compter du 01/01/2023 jusqu’au 31/12/2023. 3. Contenu de la prestation : Seules les prestations mentionnées accepté par le client au titre du devis seront effectués par 3S-NUMERIQUE. Toute autre demande ou besoin non défini dans le devis ou défini dans ses conditions particulières du contrat sera exclu, et devrait faire l’objet d’un nouveau devis ou modification du contrat en vigueur. 
4.0;01/01/2023;2024 Condition particuliére - Infogérance - iot valley (1);Infogérance Iot Valley Ordinateur mac, PC, Windows Non Serveur Oui Équipement réseau Oui Support joignable par téléphone ou mail 9H-18H 5j/7 Aide avec prise de contrôle à distance 
4.0;01/01/2023;2024 Condition particuliére - Infogérance - iot valley (1);Illimité Garantie de temps d'interventions (jour ouvré) 24H Interventions sur site Inclus Intervention d'urgence à distance ou sur site Inclus Surveillance des équipements Télésurveillance 24/7 Administration de vos réseaux 
4.0;01/01/2023;2024 Condition particuliére - Infogérance - iot valley (1);Oui Proposition et amélioration de l'existant Oui Documentation complète de l'infrastructure Oui Sauvegarde locale + distance Option Anti-virus Option La définition des interventions d’urgence sont exclusivement les actions nécessaires au bon fonctionnement du système :  -  Gestion des coupures électriques programmées.  -  Coupure de la connexion internet ou modification nécessaire du réseau  -  Attaque informatique sur le réseau iot valley. 
4.0;01/01/2023;2024 Condition particuliére - Infogérance - iot valley (1);4. Dates d’intervention, horaires : 4.1. Support à distance : L’horaire normal du support à distance (téléphone, email, tchat…) d’une journée est réalisées entre 9h et 18h en semaine du Lundi au Vendredi. 
